university,prof_title,first_lesson,second_lesson,total_grant,full_kz,full_ru,full_en,shortened_kz,shortened_ru
West Kazakhstan Innovation and Technology University,Oil and gas business,Maths,Physics,400,263,87,0,38,12
South Kazakhstan State University named after M.O. Auezov,Oil and gas business,Maths,Physics,400,263,87,0,38,12
University of Narxoz,Organization and regulation of labor,Maths,Geography,21,15,6,0,0,0
Karaganda State University named after E. A. Buketov,Organization and regulation of labor,Maths,Geography,21,15,6,0,0,0
Aktobe State Regional University named after K.Zhubanov,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Aktobe University S. Baisheva,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Eurasian Technical University,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Kazakh Automobile and Road Academy named after L. Goncharov,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Kazakh Academy of Transport and Communications named after M. Tynyshpayev,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Kazakh National Agrarian University,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Kazakh University of Railways,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Central Asian University,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Kazakh Agrotechnical University named after S. Seifullin,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Astana University,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Atyrau University of Oil and Gas,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Zhezkazgan University named after O. A. Baikonurov,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Karaganda State Technical University,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Karaganda State University named after E. A. Buketov,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Kokshetau State University named after Sh. Ualikhanov,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Kokshetau University named after A. Myrzakhmetov,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Kostanay Engineering and Economic University named after M. Dulatov,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
"Humanitarian and Technical Institute ""Akmeshit""","Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Kyzylorda State University named after Korkyt Ata,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
University Bolashak,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Innovative Eurasian University,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
Pavlodar State University named after S. Toraigyrov,"Organization of transportation, movement and operation of transport",Maths,Geography,210,101,34,0,56,19
