id,university,prof_title,first_lesson,second_lesson,total grant,full_kz,full_ru,full_en,shortened_kz,shortened_ru
,Военный институт Сил воздушной обороны Министерства обороны РК,Морская техника и технологии,Математика,Физика,95,56,19,,15,5
,Актюбинский государственный региональный университет им.К.Жубанова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Казахский национальный педагогический университет имени Абая,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Аркалыкский государственный педагогический институт имени И. Алтынсарина,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Атырауский государственный университет имени Х. Досмухамедова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Восточно-Казахстанский государственный университет имени С. Аманжолова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Жезказганский университет имени О. А. Байконурова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Жетысуский государственный университет имени И. Жансугурова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Западно-Казахстанский государственный университет имени М. Утемисова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Казахский государственный женский педагогический университет,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Карагандинский государственный университет имени Е. А. Букетова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Кызылординский государственный университет имени Коркыт Ата,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Кокшетауский государственный университет имени Ш. Уалиханова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Международный казахско-турецкий университет имени Х. А. Яссави,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Северо-Казахстанский государственный университет имени М. Козыбаева,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Государственный университет имени Шакарима г.Семей,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Южно-Казахстанский государственный университет имени М. О. Ауэзова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Евразийский гуманитарный институт,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Центрально-Азиатский университет,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Карагандинский университет «Болашак»,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Кокшетауский университет имени А. Мырзахметова,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Южно-Казахстанский педагогический университет,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Университет «Астана»,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Мангистауский гуманитарно-технический университет,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Южно-Казахстанский государственный педагогический институт,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Западно-Казахстанский инновационно-технологический университет,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Казахстанский инженерно- педагогический университет дружбы народов,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Региональный социально-инновационный университет,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Университет «Болашак»,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Актюбинский университет им. С. Баишева,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Таразский государственный педагогический университет,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Костанайский государственный педагогический институт,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Павлодарский государственный педагогический институт,Дошкольное обучение и воспитание,Биология,География,390,154,51,0,139,46
,Каспийский государственный университет технологии и инжиниринга имени Ш. Есенова,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Казахский национальный педагогический университет имени Абая,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Аркалыкский государственный педагогический институт имени И. Алтынсарина,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Атырауский государственный университет имени Х. Досмухамедова,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Восточно-Казахстанский государственный университет имени С. Аманжолова,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Жезказганский университет имени О. А. Байконурова,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Жетысуский государственный университет имени И. Жансугурова,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Западно-Казахстанский государственный университет имени М. Утемисова,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Казахский государственный женский педагогический университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Карагандинский государственный университет имени Е. А. Букетова,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Кызылординский государственный университет имени Коркыт Ата,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Кокшетауский государственный университет имени Ш. Уалиханова,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Международный казахско-турецкий университет имени Х. А. Яссави,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Северо-Казахстанский государственный университет имени М. Козыбаева,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Государственный университет имени Шакарима г.Семей,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Южно-Казахстанский государственный университет имени М. О. Ауэзова,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Центрально-Азиатский университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Университет «Мирас»,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Международный гуманитарно-технический университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Университет «Сырдария»,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Костанайский социально-технический университет имени З.Алдамжара,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Инновационный Евразийский университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Казахстанско-Американский свободный университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Кокшетауский университет имени А. Мырзахметова,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Евразийский технический университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Южно-Казахстанский педагогический университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Мангистауский гуманитарно-технический университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Южно-Казахстанский государственный педагогический институт,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Центрально-Казахстанская академия,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Западно-Казахстанский инновационно-технологический университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Казахстанский инженерно- педагогический университет дружбы народов,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Региональный социально-инновационный университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Таразский инновационно-гуманитарный университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Южно-Казахстанский гуманитарный институт имени М. Сапарбаева,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Шымкентский университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Актюбинский университет им. С. Баишева,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Таразский государственный педагогический университет,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Костанайский государственный педагогический институт,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Павлодарский государственный педагогический институт,Педагогика и методика начального обучения,Биология,География,250,135,45,0,53,17
,Каспийский государственный университет технологии и инжиниринга имени Ш. Есенова,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Казахский национальный педагогический университет имени Абая,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Аркалыкский государственный педагогический институт имени И. Алтынсарина,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Атырауский государственный университет имени Х. Досмухамедова,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Восточно-Казахстанский государственный университет имени С. Аманжолова,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Жетысуский государственный университет имени И. Жансугурова,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Западно-Казахстанский государственный университет имени М. Утемисова,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Казахский государственный женский педагогический университет,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Казахский национальный университет имени аль-Фараби,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Карагандинский государственный университет имени Е. А. Букетова,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Кызылординский государственный университет имени Коркыт Ата,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Кокшетауский государственный университет имени Ш. Уалиханова,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Международный казахско-турецкий университет имени Х. А. Яссави,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Северо-Казахстанский государственный университет имени М. Козыбаева,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Государственный университет имени Шакарима г.Семей,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Южно-Казахстанский государственный университет имени М. О. Ауэзова,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Центрально-Азиатский университет,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Академия «Болашак»,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Университет «Мирас»,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Международный гуманитарно-технический университет,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Университет «Сырдария»,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Костанайский социально-технический университет имени З.Алдамжара,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Кокшетауский университет имени А. Мырзахметова,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Южно-Казахстанский педагогический университет,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Мангистауский гуманитарно-технический университет,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Южно-Казахстанский государственный педагогический институт,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Центрально-Казахстанская академия,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Западно-Казахстанский инновационно-технологический университет,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Казахстанский инженерно- педагогический университет дружбы народов,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Региональный социально-инновационный университет,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Таразский инновационно-гуманитарный университет,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Карагандинская академия МВД Республики Казахстан имени Б. Бейсенова,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Южно-Казахстанский гуманитарный институт имени М. Сапарбаева,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Шымкентский университет,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Актюбинский университет им. С. Баишева,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Таразский государственный педагогический университет,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Костанайский государственный педагогический институт,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Павлодарский государственный педагогический институт,Педагогика и психология,Биология,География,190,98,32,0,45,15
,Казахский национальный педагогический университет имени Абая,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Атырауский государственный университет имени Х. Досмухамедова,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Восточно-Казахстанский государственный университет имени С. Аманжолова,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Жетысуский государственный университет имени И. Жансугурова,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Западно-Казахстанский государственный университет имени М. Утемисова,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Карагандинский государственный университет имени Е. А. Букетова,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Кызылординский государственный университет имени Коркыт Ата,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Международный казахско-турецкий университет имени Х. А. Яссави,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Северо-Казахстанский государственный университет имени М. Козыбаева,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Южно-Казахстанский государственный университет имени М. О. Ауэзова,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Кокшетауский университет имени А. Мырзахметова,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Южно-Казахстанский государственный педагогический институт,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Таразский инновационно-гуманитарный университет,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Университет «Болашак»,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Южно-Казахстанский гуманитарный институт имени М. Сапарбаева,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Таразский государственный педагогический университет,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Павлодарский государственный педагогический институт,Начальная военная подготовка,Творческий экзамен,Творческий экзамен,40,30,10,0,0,0
,Актюбинский государственный региональный университет им.К.Жубанова,Дефектология,Биология,География,400,285,95,0,15,5
,Казахский национальный педагогический университет имени Абая,Дефектология,Биология,География,400,285,95,0,15,5
,Атырауский государственный университет имени Х. Досмухамедова,Дефектология,Биология,География,400,285,95,0,15,5
,Восточно-Казахстанский государственный университет имени С. Аманжолова,Дефектология,Биология,География,400,285,95,0,15,5
,Жетысуский государственный университет имени И. Жансугурова,Дефектология,Биология,География,400,285,95,0,15,5
,Казахский государственный женский педагогический университет,Дефектология,Биология,География,400,285,95,0,15,5
,Карагандинский государственный университет имени Е. А. Букетова,Дефектология,Биология,География,400,285,95,0,15,5
,Северо-Казахстанский государственный университет имени М. Козыбаева,Дефектология,Биология,География,400,285,95,0,15,5
,Южно-Казахстанский государственный университет имени М. О. Ауэзова,Дефектология,Биология,География,400,285,95,0,15,5
,Центрально-Азиатский университет,Дефектология,Биология,География,400,285,95,0,15,5
,Южно-Казахстанский педагогический университет,Дефектология,Биология,География,400,285,95,0,15,5
,Южно-Казахстанский государственный педагогический институт,Дефектология,Биология,География,400,285,95,0,15,5
,Центрально-Казахстанская академия,Дефектология,Биология,География,400,285,95,0,15,5
,Казахстанский инженерно- педагогический университет дружбы народов,Дефектология,Биология,География,400,285,95,0,15,5
,Университет «Болашак»,Дефектология,Биология,География,400,285,95,0,15,5
,Таразский государственный педагогический университет,Дефектология,Биология,География,400,285,95,0,15,5
,Костанайский государственный педагогический институт,Дефектология,Биология,География,400,285,95,0,15,5
,Павлодарский государственный педагогический институт,Дефектология,Биология,География,400,285,95,0,15,5
,Казахская национальная консерватория имени Курмангазы,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Казахский национальный педагогический университет имени Абая,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Аркалыкский государственный педагогический институт имени И. Алтынсарина,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Атырауский государственный университет имени Х. Досмухамедова,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Восточно-Казахстанский государственный университет имени С. Аманжолова,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Жетысуский государственный университет имени И. Жансугурова,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Западно-Казахстанский государственный университет имени М. Утемисова,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Казахский государственный женский педагогический университет,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Кызылординский государственный университет имени Коркыт Ата,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Международный казахско-турецкий университет имени Х. А. Яссави,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Павлодарский государственный университет имени С. Торайгырова,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Северо-Казахстанский государственный университет имени М. Козыбаева,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Государственный университет имени Шакарима г.Семей,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Южно-Казахстанский государственный университет имени М. О. Ауэзова,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Международный гуманитарно-технический университет,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Университет «Сырдария»,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Южно-Казахстанский педагогический университет,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Южно-Казахстанский государственный педагогический институт,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Казахстанский инженерно- педагогический университет дружбы народов,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Региональный социально-инновационный университет,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Университет «Болашак»,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Шымкентский университет,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Таразский государственный педагогический университет,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Костанайский государственный педагогический институт,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Павлодарский государственный педагогический институт,Музыкальное образование,Творческий экзамен,Творческий экзамен,63,36,12,0,11,4
,Актюбинский государственный региональный университет им.К.Жубанова,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Казахский национальный педагогический университет имени Абая,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Аркалыкский государственный педагогический институт имени И. Алтынсарина,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Атырауский государственный университет имени Х. Досмухамедова,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Жезказганский университет имени О. А. Байконурова,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Жетысуский государственный университет имени И. Жансугурова,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Западно-Казахстанский государственный университет имени М. Утемисова,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Казахский государственный женский педагогический университет,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Карагандинский государственный университет имени Е. А. Букетова,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Кызылординский государственный университет имени Коркыт Ата,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Кокшетауский государственный университет имени Ш. Уалиханова,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Международный казахско-турецкий университет имени Х. А. Яссави,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Павлодарский государственный университет имени С. Торайгырова,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Государственный университет имени Шакарима г.Семей,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Южно-Казахстанский государственный университет имени М. О. Ауэзова,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Гуманитарно-технический институт «Акмешит»,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Университет «Сырдария»,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Южно-Казахстанский педагогический университет,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Южно-Казахстанский государственный педагогический институт,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Казахстанский инженерно- педагогический университет дружбы народов,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Региональный социально-инновационный университет,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Таразский инновационно-гуманитарный университет,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Университет «Болашак»,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Шымкентский университет,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Таразский государственный педагогический университет,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Костанайский государственный педагогический институт,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
,Павлодарский государственный педагогический институт,Изобразительное искусство и черчение,Творческий экзамен,Творческий экзамен,50,38,12,0,0,0
